Architecture,Batchsize,Dropout,Epochs,Iteration,LearningRate,Length,Model,TestLoss,TrainLoss,Variables
8,20,0.0,300,153,0.0001,20,lstm,0.021020167977899632,0.002383791307294177,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,154,0.0001,20,lstm,0.02057938222142477,0.0023667438116001635,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,155,0.0001,20,lstm,0.020499865940060986,0.0023751428137234847,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,156,0.0001,20,lstm,0.020637851030695983,0.0023634485192624427,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,157,0.0001,20,lstm,0.02074434184619496,0.0023624288445088237,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,158,0.0001,20,lstm,0.020689423791863906,0.0023600897580478754,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,159,0.0001,20,lstm,0.02030113034741452,0.0023564290562424497,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,160,0.0001,20,lstm,0.020392022285890835,0.002350596965536849,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,161,0.0001,20,lstm,0.020225367987007702,0.0023447973873779904,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,162,0.0001,20,lstm,0.02028334045141775,0.00234389468508895,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,163,0.0001,20,lstm,0.02021261070534507,0.002342177465890962,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,164,0.0001,20,lstm,0.01999787702375362,0.002326961059571743,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
